OffloadingDate,Shed,Station,Category,InternalWaybill,CtoNumber,CtoDate,ReferenceNo,Cwc,CwcDate,PurityNumber,PurityDate,Grade,Bags,NetWeight,Tonnes,CropYear,TicketType
10/28/2021 12:00:00 AM,KEJEBRIL 1A,ASH BEKWAI,P,CM0002709,114131/20A,10/28/2021 12:00:00 AM,,TKDKJ2610/022,10/28/2021 12:00:00 AM,TKD0137693,10/28/2021 12:00:00 AM,GD I,599,37801,37.202,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,"SAMREBOI D                              ",P,CM0002711,114135/20A,10/28/2021 12:00:00 AM,,TKDKJB2710/023,10/28/2021 12:00:00 AM,TKD0137698,10/28/2021 12:00:00 AM,GD I,598,37762,37.164,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,"TARKWA B                                ",P,ELI0013777,114138/20A,10/28/2021 12:00:00 AM,,TKDKJ2710/044,10/28/2021 12:00:00 AM,TKD0146001,10/28/2021 12:00:00 AM,GD I,650,40870,40.22,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,"BOGOSO                                  ",P,FE0044992,114137/20A,10/28/2021 12:00:00 AM,,TKDKJC2710/035,10/28/2021 12:00:00 AM,TKD0146003,10/28/2021 12:00:00 AM,GD I,600,38000,37.4,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,"AIYINASE                                ",P,OL0004756,114133/20A,10/28/2021 12:00:00 AM,,TKDKJ2710/121,10/28/2021 12:00:00 AM,TKD0137694,10/28/2021 12:00:00 AM,GD I,642,40578,39.936,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,A/BEKWAI A,P,AD12167,114854/20A,10/28/2021 12:00:00 AM,,TKDKJV2810/006,10/28/2021 12:00:00 AM,TKD0145737,10/28/2021 12:00:00 AM,GD I,27,1706.8,1.6798,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,A/BEKWAI A,P,AD12166,114854/20A,10/28/2021 12:00:00 AM,,TKDKJQ2610/006,10/28/2021 12:00:00 AM,TKD0145738,10/28/2021 12:00:00 AM,GD I,16,1010.9,0.9949,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"ASOKWA                                  ",P,AD12165,114854/20A,10/28/2021 12:00:00 AM,,TKDKJH2810/008,10/28/2021 12:00:00 AM,TKD0145735,10/28/2021 12:00:00 AM,GD I,187,11814.4,11.6274,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,"TWIFO NYINASE                           ",P,PB0042551,114134/20A,10/28/2021 12:00:00 AM,,TKDKJ2610/040,10/28/2021 12:00:00 AM,TKD0137696,10/28/2021 12:00:00 AM,GD I,600,37960,37.36,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,"BOGOSO                                  ",P,PB0042555,114132/20A,10/28/2021 12:00:00 AM,,TKDKJW2610/042,10/28/2021 12:00:00 AM,TKD0137692,10/28/2021 12:00:00 AM,GD I,596,37644,37.048,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"OBUASI                                  ",P,AD12164,114854/20A,10/28/2021 12:00:00 AM,,TKDKJK2610/006,10/28/2021 12:00:00 AM,TKD0145736,10/28/2021 12:00:00 AM,GD I,263,16615.9,16.3529,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"NSOKOTE A                               ",P,NY0020064,114855/20A,10/28/2021 12:00:00 AM,,TKDKJB2710/028,10/28/2021 12:00:00 AM,TKD0145778,10/28/2021 12:00:00 AM,GD I,332,20934.3,20.6023,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,PRESTEA,P,PB0042552,114132/20,10/28/2021 12:00:00 AM,,TKDKJQ2610/044,10/28/2021 12:00:00 AM,TKD0137695,10/28/2021 12:00:00 AM,GD I,589,37271,36.682,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"DUNKWA B                                ",P,NY0020063,114858/20A,10/28/2021 12:00:00 AM,,TKDKJ2710/028,10/28/2021 12:00:00 AM,TKD0145779,10/28/2021 12:00:00 AM,GD I,230,14502.7,14.2727,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 1A,"NKROFUL                                 ",P,PB0042553,114136/20A,10/28/2021 12:00:00 AM,,TKDKJR2610/041,10/28/2021 12:00:00 AM,TKD0137685,10/28/2021 12:00:00 AM,GD I,593,37627,37.034,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"DUNKWA C                                ",P,NY0020062,114856/20A,10/28/2021 12:00:00 AM,,TKDKJN2710/028,10/28/2021 12:00:00 AM,TKD0145777,10/28/2021 12:00:00 AM,GD I,237,14944.1,14.7071,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"ENCHI A                                 ",P,STE0000020,114853/20A,10/28/2021 12:00:00 AM,,TKDKJC2710/001,10/28/2021 12:00:00 AM,TKD0145733,10/28/2021 12:00:00 AM,GD I,190,12030,11.84,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"ASANKRAGWA B                            ",P,ELI0014896,SP0272704,10/28/2021 12:00:00 AM,,TKDKJ2610/063,10/28/2021 12:00:00 AM,TKD0135697,10/28/2021 12:00:00 AM,GD I,650,41190,40.54,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"W/AKROPONG B                            ",P,ELI0014897,SP0264810,10/28/2021 12:00:00 AM,,TKDKJQ2610/062,10/28/2021 12:00:00 AM,TKD0135662,10/28/2021 12:00:00 AM,GD I,650,40910,40.26,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"TARKWA A                                ",P,CM0001654,SP0105456,10/28/2021 12:00:00 AM,,TKDKJM2410/020,10/28/2021 12:00:00 AM,TKD0145734,10/28/2021 12:00:00 AM,GD I,595,37392,36.797,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"TARKWA A                                ",P,CM0001655,0105456,10/28/2021 12:00:00 AM,,TKDKJL2410/019,10/28/2021 12:00:00 AM,TKD0145776,10/28/2021 12:00:00 AM,GD I,588,37392,36.804,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"AIYINASE                                ",P,CM0002710,114529/20A,10/28/2021 12:00:00 AM,,TKDKJG2410/021,10/28/2021 12:00:00 AM,0135634,10/28/2021 12:00:00 AM,GD I,218,13782,13.564,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"DUNKWA B                                ",P,ELI0014899,114528/20A,10/28/2021 12:00:00 AM,,TKDKJH2610/064,10/28/2021 12:00:00 AM,TKD0135633,10/28/2021 12:00:00 AM,GD I,250,15417.4,15.1674,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"DUNKWA B                                ",P,ELI0014898,114528/20A,10/28/2021 12:00:00 AM,,TKDKJV2610/064,10/28/2021 12:00:00 AM,TKD0135632,10/28/2021 12:00:00 AM,GD I,373,23599.6,23.2266,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"ABOSO                                   ",P,FLU0005320,114526/20A,10/28/2021 12:00:00 AM,,TKDKJW2610/034,10/28/2021 12:00:00 AM,TKD0135699,10/28/2021 12:00:00 AM,GD I,495,31396.7,30.9017,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"BOGOSO                                  ",P,FLU0005319,114526/20A,10/28/2021 12:00:00 AM,,TKDKJ2610/034,10/28/2021 12:00:00 AM,TKD0135700,10/28/2021 12:00:00 AM,GD I,300,19028300,19028,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,A/ BEREKU,P,NY0020061,114527/20A,10/28/2021 12:00:00 AM,,TKDKJY2610/027,10/28/2021 12:00:00 AM,TKD0135698,10/28/2021 12:00:00 AM,GD I,710,44850,44.14,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"ENCHI B                                 ",P,OL0009034,0269067,10/28/2021 12:00:00 AM,,TKDKJG2610/118,10/28/2021 12:00:00 AM,TKD0135721,10/28/2021 12:00:00 AM,GD I,650,41130,40.48,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"AGONA AMENFI                            ",P,OL0004759,0269067,10/28/2021 12:00:00 AM,,TKDKJF2610/120,10/28/2021 12:00:00 AM,TKD0135725,10/28/2021 12:00:00 AM,GD I,26,1643.5,1.6175,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"AWASO                                   ",P,OL0004758,SP114804/20A,10/28/2021 12:00:00 AM,,TKDKJC2610/120,10/28/2021 12:00:00 AM,TKD0135724,10/28/2021 12:00:00 AM,GD I,284,17952,17.668,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 2B,"PENAKROM                                ",P,OL0004757,SP114804/20A,10/28/2021 12:00:00 AM,,TKDKJD2610/120,10/28/2021 12:00:00 AM,TKD0135631,10/28/2021 12:00:00 AM,GD I,350,22124.2,21.7742,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"TARKWA B                                ",P,AGL0006751,SP269652,10/28/2021 12:00:00 AM,,TKDKJ2710/002,10/28/2021 12:00:00 AM,TKD0145781,10/28/2021 12:00:00 AM,GD I,631,39849,39.218,2021/22 MC,
10/28/2021 12:00:00 AM,KEJEBRIL 4B,"TARKWA                                  ",P,AD12163,SP0105505,10/28/2021 12:00:00 AM,,TKDKJX2610/005,10/28/2021 12:00:00 AM,TKD0145780,10/28/2021 12:00:00 AM,GD I,531,33769,33.238,2021/22 MC,
10/27/2021 12:00:00 AM,KEJEBRIL 1A,"WASA AKROPONG                           ",P,CAN0005075,114130/20A,10/27/2021 12:00:00 AM,,TKDKJ2510/026,10/27/2021 12:00:00 AM,TKD0137686,10/27/2021 12:00:00 AM,GD I,642,40598,39.956,2021/22 MC,
10/27/2021 12:00:00 AM,KEJEBRIL 1A,"S/BEKWAI                                ",P,CKS003887,114128/20A,10/27/2021 12:00:00 AM,,TKDKJ2510/007,10/27/2021 12:00:00 AM,TKD0137689,10/27/2021 12:00:00 AM,GD I,136,8684,8.548,2021/22 MC,
