OffloadingDate,Shed,Station,Category,InternalWaybill,CtoNumber,CtoDate,ReferenceNo,Cwc,CwcDate,PurityNumber,PurityDate,Grade,Bags,NetWeight,Tonnes,CropYear,TicketType
18/11/2021 00:00:00,ADWUMAPA A,KADE,P,PB0051713,,,,,,,,,600,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA A,NKAWIE,P,PB0051714,,,,,,,,,600,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA A,SUNYANI,P,UNM0000356,,,,,,,,,600,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA A,BREMAN ASIKUMA,P,UNM0000358,,,,,,,,,600,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA A,SWEDRU,P,KU005486,,,,,,,,,530,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA A,NEW EDUBIASE,P,PB0051716,,,,,,,,,300,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA A,NEW EDUBIASE,P,PB0051717,,,,,,,,,300,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA C,HWIDIEM,P,KU005442,,,,,,,,,500,0,0,2021/22 MC,
18/11/2021 00:00:00,ADWUMAPA C,BREMAN ASIKUMA,P,UNM000359,,,,,,,,,650,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX B,JUASO,P,OL0009643,,,,,,,,,600,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX B,KIBI,P,OL0009644,,,,,,,,,700,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX B,JUASO,P,CM0002305,,,,,,,,,600,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX B,MANKRANSO,P,OL0009649,,,,,,,,,650,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX B,AGONA,P,OL0007027,,,,,,,,,200,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX B,OFFINSO,P,OL0007026,,,,,,,,,250,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX B,OFFINSO,P,OL0009650,,,,,,,,,300,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX C,CAPE COAST,P,FE0040720,,,,,,,,,180,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX C,BREMAN ASIKUMA,P,AKC004411,,,,,,,,,200,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX C,AKIM ODA,P,AKC004412,,,,,,,,,200,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX C,TEPA,P,CM0002306,,,,,,,,,600,0,0,2021/22 MC,
18/11/2021 00:00:00,G/ ANNEX C,CAPE COAST,P,TD0000336,,,,,,,,,180,0,0,2021/22 MC,
18/11/2021 00:00:00,ARMAJARO  B,AMPENIM,P,OL0009637,,,,,,,,,200,0,0,2021/22 MC,
18/11/2021 00:00:00,ARMAJARO  B,NYINAHIN,P,OL0009638,,,,,,,,,100,0,0,2021/22 MC,
18/11/2021 00:00:00,ARMAJARO  B,ANHWIASO,P,OL0009639,,,,,,,,,303,0,0,2021/22 MC,
18/11/2021 00:00:00,ARMAJARO  B,AMPENIM,P,OL0009640,,,,,,,,,50,0,0,2021/22 MC,
18/11/2021 00:00:00,ARMAJARO  B,AMPENIM,P,OL0009641,,,,,,,,,50,0,0,2021/22 MC,
